epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4112,1.9862,4.06915,1.90873,0.5946,0.04843,0.02369,0.01124,2.16027,3.92826,2.11033,0.00013635,0.00013635,0.00013635
2,86.4211,1.80385,2.86214,1.7274,0.63158,0.13127,0.27667,0.09764,2.01577,3.69354,2.02778,0.000276211,0.000276211,0.000276211
3,127.304,1.78813,2.61022,1.7672,0.33511,0.15333,0.2145,0.0576,2.27381,3.47269,2.20947,0.000410312,0.000410312,0.000410312
4,167.338,1.84639,2.32726,1.74,0.83615,0.17918,0.12053,0.02834,2.51389,3.83462,2.42673,0.000538653,0.000538653,0.000538653
5,207.184,1.69669,2.10166,1.70118,0.27968,0.12626,0.07759,0.02821,2.36244,4.25561,2.48629,0.000661236,0.000661236,0.000661236
6,238.81,1.78615,2.25875,1.69483,0.17281,0.11134,0.04138,0.01411,2.42495,5.12378,2.61251,0.000778059,0.000778059,0.000778059
7,275.92,1.77951,2.08017,1.70491,0.74692,0.02906,0.02077,0.00782,2.80762,13.9421,3.06918,0.000801011,0.000801011,0.000801011
8,308.108,1.76779,2.01659,1.69416,0.7072,0.10486,0.13761,0.04715,2.79882,4.84623,2.79889,0.000783013,0.000783013,0.000783013
9,340.18,1.73314,1.95754,1.68956,0.67707,0.12392,0.09822,0.04106,2.5112,3.47277,2.65482,0.000765014,0.000765014,0.000765014
10,373.96,1.80444,1.91467,1.7805,0.23953,0.16145,0.09154,0.03247,2.44275,3.95902,2.35202,0.000747016,0.000747016,0.000747016
11,404.417,1.72449,1.85455,1.6812,0.63844,0.20071,0.1279,0.04385,2.19623,3.18303,2.27773,0.000729018,0.000729018,0.000729018
12,435.87,1.69376,1.90665,1.66353,0.41437,0.24988,0.1285,0.05074,2.1834,3.60442,2.21257,0.00071102,0.00071102,0.00071102
13,462.414,1.65942,2.04938,1.64879,0.29891,0.13577,0.14475,0.06726,2.03488,2.64818,2.02667,0.000693022,0.000693022,0.000693022
14,488.404,1.6309,1.78921,1.62176,0.81364,0.13071,0.16689,0.08243,1.83799,2.98285,1.92004,0.000675023,0.000675023,0.000675023
15,513.606,1.63053,1.84099,1.67957,0.46931,0.19241,0.18304,0.08642,2.0723,2.44528,2.0897,0.000657025,0.000657025,0.000657025
16,539.924,1.65501,1.73868,1.60021,0.41723,0.21295,0.21672,0.12443,1.89482,2.28578,1.92035,0.000639027,0.000639027,0.000639027
